Notes,Score,evidence
Video,,
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others but nevertheless, here is a track record that everyone is contributing a lot)",,evidence in GH
Number of commits,,in GH
Number of commits: by different people,,in GH
Issues reports: there are many,,
Issues are being closed,,evidence in GH
DOI badge: exists,,in GH
"Docs: doco generated, format not ugly",,in GH
Docs: what: point descriptions of each class/function (in isolation),,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",,doc page entries
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",5,README.md
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",5,
Use of version control tools,4,github link
Use of style checkers,,config files in GH showing your config
Use of code formatters.,,config files in GH showing your this formatter's config
Use of syntax checkers.,,config files iin GH showing this checker's config
Use of code coverage,,config files in GH
Other automated analysis tools,,config files in GH
Test cases exist,,many tests and those test cases are more than 30% of the code base
Test cases are routinely executed,,E.g. travis-com.com or github actions or something
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,5,contribute.md link
Issues are discussed before they are closed,5,"even if you discuss in slack, need a sumamry statement here"
Chat channel: exists,,https://discord.com/channels/1164755079958642779/1164755079958642782
Test cases: a large proportion of the issues related to handling failing cases.,5,test case link
Evidence that the whole team is using the same tools: everyone can get to all tools and files,5,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",5,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",5,
Evidence that the members of the team are working across multiple places in the code base,5,
Short release cycles,4,(hard to see in short projects) project members are committing often enough so that everyone can get your work